unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
138,61,0,3.3,1.6,93.5,1.6,0,0,0,0,61,FAS
139,68,0,2.9,5.9,80.9,2.9,0,0,0,7.4,68,FAS
140,67,1.5,1.5,9,86.5,1.5,0,0,0,0,67,FAS
141,7,0,0,0,99,1,0,0,0,0,8,FAS
142,30,0,6.7,6.7,46.7,20,6.7,3.3,6.7,3.3,32,FAS
143,64,1.6,6.3,4.7,82.8,0,0,1.5,0,3.1,65,FAS
144,133,1.5,0.8,3.8,90.9,0.7,0,1.5,0,0.8,134,FAS
145,314,4.5,4.1,4.1,82.9,0.6,0,1.3,0,2.2,314,FAS
146,191,10,14.1,4.2,69,0,0,1.1,0,1.6,192,FAS
147,66,6.1,3,10.6,72.7,4.6,0,1.5,0,1.5,66,FAS
148,165,1.8,4.9,1.2,83.1,2.4,1.2,2.4,0,3,167,FAS
149,371,0.5,0.5,3.2,91.8,0,0,0.8,0,3.2,371,FAS
150,394,0.3,2,5.6,85.5,0.3,0.5,1,0,4.8,394,FAS
151,507,0,1.2,3,87,0,0,2,0,6.8,510,FAS
152,230,0.9,2.6,4.4,74.8,0.4,0,3.9,0,13,231,FAS
153,607,1.8,3.1,2.5,71.3,0.2,0.2,3.8,0,17.3,614,FAS
154,213,0.9,2.4,2.8,66.7,1.4,0,4.7,0,21.1,216,FAS
155,134,2.2,5.2,2.2,23.9,6,0,7.5,0,53,137,FAS
156,739,3.3,4.6,4.3,50.9,0.9,0,4.8,0,31.2,746,FAS
157,143,0,3.5,2.8,39.2,4.9,0,6.3,0,43.3,143,FAS
158,164,0.6,6.1,3.7,38.4,1.8,0,5.5,0,43.9,165,FAS
159,120,0.8,4.2,15.8,36.8,0.8,0,8.3,0,33.3,122,FAS
160,67,0,10.5,3,35.8,0,0,3,0,47.7,70,FAS
161,73,0,2.7,4.1,52.1,0,0,9.6,0,31.5,75,FAS
162,115,2.6,2.6,20.9,27.8,0,0,4.4,0,41.7,115,FAS
163,39,0,12.7,2.6,23.1,2.6,0,0,0,59,39,FAS
164,72,0,1.4,6.9,56.9,0,0,4.2,0,30.6,74,FAS
165,41,0,2.4,4.9,17.1,0,0,0,0,75.6,42,FAS
166,109,0,0.9,3.7,22.9,0.9,0,3.7,0,67.9,109,FAS
167,16,0,0,6.3,18.7,0,0,6.3,0,68.7,17,FAS
168,34,0,8.8,5.9,32.4,2.9,0,2.9,0,47.1,34,FAS
169,1,0,0,0,100,0,0,0,0,0,1,FAS
170,39,0,7.9,7.9,13.2,2.6,0,0,0,68.4,39,FAS
171,17,0,11.8,11.8,17.7,0,0,0,0,58.7,17,FAS
172,35,0,2.9,0,37.1,0,0,2.9,0,57.1,35,FAS
173,26,0,3.9,7.7,15.4,0,0,3.9,0,69.1,26,FAS
174,200,1,7,3,14,0,0,4.5,0,70.5,201,FAS
175,73,0,10.9,2.7,6.9,0,0,0,0,79.5,74,FAS
