"","trenchunit","fishes_non_tuna","tuna","birds","small_mammal","hare","medium_mammal","equid","cervidae","bos","sus_scrofa","caprines","small_ungulate","med_ungulate","large_ungulate","small_carnivore","domestic_dog","cattle","pig","caprine","molluscs"
"125","FAS_138",8,0,0,2,2,0,0,0,2,1,17,0,4,6,1,0,0,0,0,61
"126","FAS_139",13,0,0,0,3,0,0,0,2,0,41,0,5,4,4,0,0,0,0,68
"127","FAS_140",10,0,0,3,19,1,0,0,6,7,228,0,2,6,2,0,0,0,0,67
"128","FAS_143",15,0,0,7,4,6,0,1,0,5,334,1,0,21,6,0,0,0,0,65
"129","FAS_144",17,1,0,4,5,0,0,3,1,3,112,0,13,4,2,0,0,0,0,134
"130","FAS_145",86,13,1,8,28,3,0,5,0,4,197,0,7,6,6,0,0,0,0,314
"131","FAS_59",7,0,0,0,0,1,0,1,0,2,16,1,0,0,0,0,0,0,0,NA
"132","FAS_60",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA
"133","FAS_61",4,0,0,3,2,1,0,2,1,4,23,0,1,0,0,0,0,0,0,NA
"134","FAS_62",0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA
"135","FAS_63",4,0,0,2,0,0,0,2,0,0,2,0,1,3,0,0,0,0,0,NA
"136","FAS_64",0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,NA
"137","FAS_65",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,NA
"138","FAS_66",4,0,0,0,1,0,0,1,0,4,4,0,2,2,0,2,0,0,0,NA
"139","FAS_67",1,2,0,1,2,0,0,2,0,5,17,0,2,11,0,3,0,0,0,NA
"140","FAS_68",4,0,0,0,0,0,0,1,4,3,15,0,1,0,0,0,0,0,0,NA
"141","FAS_69",7,0,0,1,9,0,0,5,0,7,25,0,7,4,0,0,0,0,0,NA
"142","FAS_70",2,0,0,2,3,0,0,6,3,4,26,13,8,9,0,1,0,0,0,NA
"143","FAS_71",1,0,0,0,1,0,0,2,2,11,25,10,3,4,0,1,0,0,0,NA
"144","FAS_72",0,0,0,3,3,0,0,4,0,1,16,9,1,3,0,2,0,0,0,NA
"145","FAS_73",6,1,0,0,0,0,0,5,0,10,41,0,10,2,0,0,0,0,0,119
"146","FAS_74",3,0,0,1,1,0,0,1,1,14,68,1,8,2,2,1,0,0,0,231
"147","FAS_75",2,0,0,1,0,0,0,0,1,1,23,0,1,0,2,0,0,0,0,93
"148","FAS_76",23,1,0,2,5,0,0,8,0,20,139,23,9,12,5,0,0,0,0,1006
"149","FAS_77",3,0,0,0,4,0,0,5,1,3,38,4,3,0,0,0,0,0,0,176
"150","FAS_78",1,0,0,0,2,0,0,2,1,1,27,0,1,2,0,0,0,0,0,51
"151","FAS_79",0,1,0,0,1,0,0,2,1,9,26,0,1,1,0,1,0,0,0,55
"152","FAS_80",0,0,0,0,0,0,0,0,1,4,7,1,0,1,0,0,0,0,0,11
"153","FAS_81",4,0,0,1,2,0,0,3,2,11,52,9,4,4,2,0,0,0,0,336
"154","FAS_82",9,0,0,0,1,0,0,0,0,4,43,11,4,1,4,0,0,0,0,206
"155","FAS_83",10,4,0,0,2,0,0,0,1,5,58,10,2,2,0,0,0,0,0,198
"156","FAS_84",12,1,0,2,4,0,0,0,0,3,25,2,3,0,0,0,0,0,0,117
"157","FAS_85",11,4,0,0,7,0,0,0,0,4,9,0,0,0,0,0,0,0,0,88
"158","FAS_86",12,1,0,0,2,0,0,0,0,2,10,4,0,0,0,0,0,0,0,127
"159","FAS_87",9,3,0,0,2,0,0,0,0,3,6,1,0,0,0,0,0,0,0,41
"160","FAS_88",14,1,0,0,1,0,0,0,0,5,5,2,3,1,0,0,0,0,0,58
"161","FAS_89",27,0,0,0,3,0,0,1,0,5,38,8,6,0,1,0,0,0,0,199
"162","FAS_90",7,1,0,3,2,0,0,0,0,20,55,5,9,1,1,4,0,0,0,152
"163","FAS_91",44,8,0,3,0,0,0,1,0,19,78,0,6,0,0,0,0,0,0,218
"164","FAS_92",1,0,0,0,0,0,0,0,0,1,15,1,2,0,0,1,0,0,0,17
"165","FAS_93",4,1,0,0,2,0,0,0,0,15,39,0,3,0,0,0,0,0,0,150
"166","FAS_94",4,0,0,1,2,0,0,1,0,11,33,3,2,0,1,1,0,0,0,87
"167","FAS_95",3,0,0,1,0,0,0,0,0,1,14,0,1,0,0,0,0,0,0,39
"168","FAS_96",2,0,0,0,0,0,0,0,1,3,6,0,0,0,0,1,0,0,0,20
"169","FAS_97",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13
"170","FAS_98",4,0,0,0,4,0,0,0,0,2,64,0,3,0,3,0,0,0,0,142
"171","FAS_99",6,0,0,0,3,0,0,0,1,3,72,0,1,1,0,0,0,0,0,110
"172","L5NE_45",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,77
"173","L5NE_48",0,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,5,114
"174","L5NE_54",0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8,95
"175","L5NE_55",0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,50
"176","L5NE_56",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,80
"177","L5NE_64",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,104
"178","L5_33",0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,8,128
"179","L5_37",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,213
"180","Q5N_23",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,43
"181","Q5N_25",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
"182","Q5N_26",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,236
"183","Q5N_45",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,80
"184","Q5N_47",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,80
"185","Q5N_55",2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,9,55
"186","Q5N_56",0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,52
