trench,unit,zone,liters,total flot,Adonis sp.,Alkanna sp.,Anchusa sp.,Astragalus frigonella sp.,Avena sp.,Avena sp. frag.,Boraginaceae sp.,Calendula sp.,Capparis sp.,Celtis sp. tournifortii ,cf. Colchicum/polygonatum,Coriandrum sp.,Cruciferae sp. (+seeds + capsules),culm nodes indet. (+frags),Echium sp.,Erodium sp.,Fumaria sp.,Gallium sp.,glume base indet.,Gramineae indet.,Gramineae indet. frags.,Hordeum vulgare ssp.,Hordeum vulgare ssp. Distichum,Hordeum vulgare ssp. Distichum frag.,Hordeum vulgare ssp. spontaneum,Hordeum vulgare ssp. spontaneum frag.,H. vulgare ssp. Distichum rachis (+frags.),indet. frag.,L. officinale,"Lathyrus (S, M, L)","Leguminosae (S, M, L)",Leguminosae frag.,Lens sp.,lens sp. frag.,Liliaceae sp.,Lithospermum arvense (+cf. apulum),Lithospermum arvense frag.,Malva parviflora,Medicago sp.,cf. Medicago frag.,Monocotylidonae (+ capsules),Phalaris sp.,Pistacia cf. lentiscus,Pistacia cf. lentiscus frags.,Pisum cf. elatius,Pisum/Vicia (+Pisum of all sizes),Polygonum sp.,Prunus amygdalus,Prunus amygdalus frag.,Pyrus amygdaloformis,Pyrus amygdaloformis frag.,rachis frag. indet.,Schoenus nigricans,seed indet.,seed indet. frag,sp. no. 1 ,spikelet fork indet. (+frags),Teucrium sp. ,Triticum sp.,T. cf. aestivum/durum,Triticum turgidum ssp. dicoccum (+terminals),Triticum turgidum ssp. dicoccum frag.,T. turgidum ssp. dicoccum spkt. fks.,T. turgidum ssp. dicoccum terminal spikelet forks,T. turgidum ssp. dicoccum glume bases,Triticum monococcum,Triticum monococcum frag.,Triticum monococcum spkt. fks.,Triticum monococcum spikelet fork,Uthospennum dlicinale,Vicia ervilia,Vicia/Lathyrus sp.,Vitis vinifera ssp. sylvestris,Vitis vinifera ssp. sylvestris frag.,Triticum sp. SUM (no frags.),Hordeum vulgare SUM (no frags)
FAS,76,VII,129,801.2,,,,,,,,,,,,,,1,,,,,1,,44,,5,3,,,,,,,,,2,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,17,3,,,,,,,,,,,,,17,5
FAS,77,VII,62,89.5,,,,,,,,,,,,,,,,,,,,,21,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,2,2
FAS,78,VII,58,73,,,,,,,,,,,,,,,,,,,,,42,,3,1,,,,,,1,1,,3,,,4,,,3,,,,,6,,,1,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,4,3
FAS,79,VII,54,91.6,,,,,,,,,,,,,1,,,,,,,,34,,4,3,,,,,,,6,,5,,,1,,,3,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,4
FAS,80,VII,30,21.2,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,0
FAS,81,VII,98,411.1,,,,,,,,,,,,,,,,,,,,,37,,4,4,,,,,,,3,,3,,,1,,,3,,,,,,,,,,3,,,,,,,,,,,,7,,,,,,,,,,,,,,7,4
FAS,82,VII,220,222.8,,,,1,,,2,,,,,1,20,,6,,,,,,87,,9,,,,,,,1,2,,2,,,27,,,455,,,,,,,,,,3,,,,,3,,,,,,,3,1,,,,,,,,,,,,,3,9
FAS,83,VII,37,401,,,,,,,,,,,,,3,,,,,,,,47,,3,2,,,,,,,1,,1,,,1,,,44,,,,1,2,,,,1,,,,,,,,,,,,,4,,,,,1,,,,,,,,,5,3
FAS,84,VII,43,439.3,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,4,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,3
FAS,85,VII,56,216.1,,,,,,,,,,,,,7,1,,,,,1,,40,,1,,,,,,,3,2,,4,,,2,,,104,,,,,4,,,,2,,,,,,,2,,,,,,4,,,,,,,,,,,,2,,4,1
FAS,86,VII,99,276.3,,,,,,,,,,,,,,,,,,,,,64,,10,6,,,,,,,1,,3,,,,,,4,,,,1,26,,,,2,,3,,,,,,,4,,,,3,,,,,,,,,,,,,,3,10
FAS,87,VII,31,69.6,,,,,,,,,,,,,,,1,,,,,,20,,1,3,,,,,,,,,3,,,3,,,5,,,,5,,,,,3,,,3,,,,,,1,,,,,,,,,,,,,,,,,,0,1
FAS,88,VII,14,61.5,,,,,,,,,,,,,,1,,,,,,,19,,3,1,,,1,,,,,,,,,1,,,10,,,,2,6,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,3
FAS,89,VII,183,464.8,,,,,,,,,,,,,,,,,,,,,62,,5,3,,,,,,3,,,6,,,1,,,8,,,,2,,,,,5,,,,,,,,,2,,,,9,,,,,,,,,,,,,,9,5
FAS,90,VII,86,937.9,,,,,,,,,,,,,,,,,,,3,,42,,7,6,,,,,,,3,,2,,,4,,,9,,,,,,,,,4,,,,,,,,,,,,,5,1,,,,,,,,,,,,,5,7
FAS,91,VII,60,862,,,,,,,,,,,,,1,,,,,,8,,62,,9,14,,,1,,,,,,1,,,,,,4,,,,,3,,,,2,,,,,,,2,,3,,,,12,2,4,,,3,,2,,,,,,,21,9
FAS,92,VII,7,80.5,,,,,,,,,,,,,,1,,,,,,,11,,2,5,,,1,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,2
FAS,93,VII,109,345.2,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,2,,,,,,7,,,,,2,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,0
FAS,94,VII,89,176.3,,,,,,,,,,,,,1,,,,,,,,,,4,8,,,,,,,,,1,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
FAS,95,VII,34,39.4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,1,,,,,,1,,,,,2,,1,,1,,,,,,,2,,,,,,3,,,,,,,,,,1,,,,3,1
FAS,96,VII,27,69.7,,,,,,,,,,,,,,1,1,,,,,,5,,11,18,,,1,,,,,,1,,,1,,,,,,,,1,,,,4,,,,,,,2,,,,,,5,,,,,,,,,,,,,,5,11
FAS,97,VII,35,22.2,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAS,98,VII,210,318.8,,,,,,,,,,,,,2,,,,2,,,,13,,10,6,,,,,,,1,,2,,1,3,,,11,,,,,1,,,,5,,,,,,,,,,,,,4,,,2,,2,,,,,,,,,8,10
FAS,99,VII,74,428.2,,,,,,,,,,,,,2,2,,,1,,3,,,,1,3,,,,,,1,,,6,,,,,,8,,,,,1,,,,5,,,,,,,,,,,,,5,,2,,,,,4,,,,,,,11,1
FAS,100,VII,30,135.3,,,,,,,,,,,,,,,,,,,,,44,,17,22,,,,,,3,5,,14,,,,,,4,,,,1,,,,,5,,,,,,,,,,,,,35,7,,,,5,,9,,,,1,,,49,17
FAS,101,VII,69,78,,,,,,,,,,,,,1,,,,,,,,5,,2,5,,,1,,,,,,1,,,1,,,4,,,,,1,,,,2,,,,,,,2,,3,1,,,4,1,1,,,1,,,,,,,,,6,2
FAS,102,VII,89,165.6,,,,,,,,,,,,,6,,,,,,4,,11,,7,12,,,,,,2,,,8,,,,,,2,,,,1,,,,,14,,,,,,,1,,2,,,,5,4,2,,1,1,,1,,,,,,,10,7
FAS,103,VII,100,250,,,,,,,,,,,,,4,,,,,,,,20,,5,3,,,,,,1,,,4,,,1,,,13,,1,,,2,,,,4,,3,,,,,3,,,,,,4,2,2,,,1,,1,,,,,,,8,5
FAS,104,VII,73,357.9,,,,,,,,,,,,,2,,,,1,,,,83,,17,11,,,,,,3,17,,24,,,4,,,6,,,,,8,,,,7,,,,,,,,,,,,,30,9,,,,3,,6,,,,2,3,,39,17
FAS,105,VII,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,106,VII,17,250,,,,,,,,,,,,,3,,,,,,2,,10,,5,,,,,,,3,10,,11,,1,,,,14,,,,10,,,,,14,,,,,,,1,,2,,,,10,,,,,5,,,,,1,,,,15,5
FAS,107,VII,46,279.9,,,,,,,,,,,,,13,,,,,,,,8,,7,,,,1,,,,2,,4,,,,,,5,,,,,5,,,,10,,,,,,,,,3,,,,4,,3,,,,,5,,,,,,,12,7
FAS,108,VII,27,77.8,,,,,,,,,,,,,4,,,,,,13,,5,,2,4,,,1,,,,2,,2,,,1,,,16,,,,,18,,,,10,,,,,,,3,,,,,,2,,1,,,,,8,,,,,,,11,2
FAS,109,VII,167,285.3,,1,,,,,,,,,,,12,,2,,,,6,,13,,,,,,2,,,3,,,2,,,1,,,,,,,5,,,,,5,,1,,,,,2,,,,,,3,,,,,,,,,,,1,,,3,0
FAS,110,VII,60,17.7,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,2,0
FAS,111,VII,82,99.4,,,,,,,,,,,,,1,,17,,,,,,5,,3,5,,,,,,,,,1,,,6,,,4,,,,,1,,,,3,,,,,,,,,,,,,2,,,,,,,1,,,,,,,3,3
FAS,112,VII,145,35.7,,,,,,,,,,,,,3,,35,,,,,,4,,1,2,,,,,1,1,,,,,,13,,,14,,,,,,,1,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,,3,1
FAS,113,VII,91,12.1,,2,,,,,1,,,,,,2,,7,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,114,VII,82,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAS,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,116,VII,432,196.8,,1,,,2,,5,,,,,,7,,10,,,,,,2,,6,3,,,,,,,,,2,,,12,,,5,,,,2,,,,,2,,,,,,,2,,,,,,3,,,,,,,,,,,3,,,3,6
FAS,117,VII,586,237.9,,,,,,,,,,,,,1,,,,,,1,,18,,4,8,,,,,,2,,,1,,,16,,,2,,,2,,,,,,1,,1,,,,,1,,10,,,,18,2,1,,,2,2,,,,,,,,21,4
FAS,118,VII,216,75.7,,2,,,,,,,,,,,,,,,,,1,,14,,2,,,,,,,,,,,,,24,,,,,,,,,,,,,9,,,,,,,,,,,,6,,2,1,1,5,,,,,,,,,15,2
FAS,119,VII,185,88.8,,,,,,,,,,,,,,,,,,,1,,20,,2,,,,,,,1,2,,1,,,11,,,,,,,5,,,,,5,,1,,,,,1,,,,,,6,1,3,,1,,,2,,,,,,,12,2
FAS,120,VII,308,414.1,,2,,,,2,,,,,,,10,,,,,,,,21,,8,6,,,1,,,,18,,7,,,8,,,11,,,,,,,,,24,,1,,,,,5,,1,,3,7,24,,,,,,,,,,2,4,,,34,8
FAS,121,VII,62,360.2,,,,,,,,,,,,,12,,,,,,,,30,,,9,,,,,,,10,,4,,,6,,,11,,,,,,,4,,27,,,,,,,5,,,,,,25,3,,,,,,1,,,,4,,,26,0
FAS,122,VII,308,385.3,,1,,,,,,,,,,,7,,,,,,,,9,,1,1,,,,,,,8,,2,,,3,,,25,,,,,,,1,,14,,,,,,,6,,2,,,,4,,,,,1,,,,,,1,,1,5,1
FAS,123,VII,278,453.5,,1,,,,,,,,,,,1,,,,,,1,,23,,1,4,,,,,,,,,,,,9,,,20,,,,1,,,1,,18,,,,,,,5,,,,,,1,1,,,,1,,1,,,,,,,3,1
FAS,124,VII,301,284.1,,1,,,,,,,,,,,4,,3,,,,,,13,,3,,,,,,,1,2,,,,3,12,,,1,,,,1,,,,,12,,,,,,,2,,,,,,2,1,,,,1,,,,,,1,,,3,3
FAS,125,VII,34,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,126,VII,126,55.7,,,,,,,,,,,,,4,,1,,,,,,8,,2,,,,,,,,,,2,,,1,,,5,,,,,1,,,,9,,,,,,,,,,,,,7,1,,,,,,,,,,,,,7,2
FAS,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,128,VII,216,10.7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,3,0
FAS,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,130,VI/VII,222,6.6,,,,,,,,,,,,,,,,,,,,,14,,1,1,,,,,,,,,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1
FAS,131,VI/VII,203,3.9,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,0
FAS,132,VI/VII,58,0.5,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,133,VI,35,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,134,VI,73,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,135,VI,65,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,136,VI,173,7.1,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
FAS,137,VI,151,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,138,VI,86,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,139,VI,108,2.4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,140,VI,121,12,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAS,141,VI,6,2.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,143,VI,154,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
FAS,144,VI,123,13.7,,4,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,145,VI,401,26.3,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,10,1,,,,,,,,,,2,,,10,0
FAS,146,V/VI,308,8.3,,1,,,3,,,,,,,,,,,,,,,,7,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,148,V,154,20.8,,1,,,16,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,149,V,163,10.7,,2,,,5,3,,,2,,,,,,,,,,,,12,,,,2,,,,,,,,1,,,,,,,,,,7,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,0,2
FAS,150,V,10,59.7,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,7,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
FAS,151,V,463,48.9,1,2,,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,153,V,103,16.8,,,,,2,3,,,,,,,,2,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,154,V,243,71.3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,155,V,59,54.4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,0
FAS,156,V,390,59.1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,3,,,,,1,,,,,,,14,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,157,V,50,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,158,V,18,23.7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0
FAS,159,V,184,20.2,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,0
FAS,160,IV/V,18,5.8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,161,IV/V,21,144.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,162,IV/V,51,255.7,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,2,5,,,,,,,1,,,,,15,,,,,,,3,,,,,,,,,,,,,,,,,2,,,0,0
FAS,163,IV/V,42,30.9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,164,IV/V,21,79.2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,165,IV/V,53,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,18,,,1,,,,3,12,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,166,IV/V,41,92.1,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,7,10,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,167,IV/V,42,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,12,,,,,,,1,1,,,,9,,1,,,,,5,,,,,,,,,,,,,,,,,2,,,0,0
FAS,168,IV,84,101.7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,82,,,,,,,7,6,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,169,IV,16,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,170,IV,148,154.3,,1,1,,29,4,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,963,,2,,,,,12,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,1
FAS,171,IV,60,79.3,,,,,4,5,,,9,,,,,1,,,,,,,,,,,,,,,,,,,1,,,91,,,,,,,10,,,,,3,,1,,,,,12,,,,,,,,,,,,,,,,,,,,0,0
FAS,172,IV,216,235.2,1,9,4,,12,7,,1,,,,,,1,,,,,,,1,,,,,,,,4,,15,,4,,4,2404,,6,,,,2,25,,,1,,15,,2,,,,,11,,,,,,,,,,,,,,,,,1,,,0,0
FAS,173,IV,20,74.4,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,451,,,,,,,5,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0
FAS,174,IV,139,288.1,,4,,,30,,,,,,2,,1,,,,,,,,1,,,,1,,,,,1,2,,9,,,245,,,,,,,103,,,,,46,,,14,,,,7,,,,,,,,,,,,,,,,,4,,,0,1
FAS,175,IV,112,75.6,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,10,,,60,,,,,,,35,,,2,,10,,4,,,,,4,,,,,,,,,,,,,,,,,,,,0,0
FAS,176,ΙΙΙ,649,351.3,,,,,24,174,,,,,4,,,,,,,,,,,,,,1,15,,,,3,5,,102,,,,,,,,,4,18,,,2,,151,,,,,,,10,,,,,,,,,,,,,,,,,4,,,0,1
FAS,177,ΙΙΙ,346,602.4,2,1,,,78,,,,,,2,,,,,,,,,,,,,,2,2,,,,1,35,,74,,2,,,,,,,4,139,,,3,,342,,49,,,,,,,,,,,,,,,,,,,,,,4,,,0,2
FAS,178,ΙΙΙ,14,103.4,4,1,,,207,,,,,,7,,,,,,,,,,15,,,,13,,,,,1,23,,105,,33,2,,,2,,,6,316,,,,,137,,120,,,,,,,,,,,,,,,,,,,,,,7,,,0,13
FAS,179,ΙΙΙ,277,492.3,1,,,,120,,,,10,,7,,3,,,5,,,,,9,,,,1,5,,,,4,43,,65,,6,3,,1,,,,1,167,,,,,150,,54,,,,,,,,,,,,,,,,,,,,,,10,,,0,1
FAS,180,ΙΙΙ,214,352.1,1,,,,68,,,,4,,13,,1,,,,1,,,,,,,,,5,,,,,27,,16,,,2,,,1,,,,222,,,,,101,,32,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,181,ΙΙΙ,151,59,,,,,18,,,,1,,1,,1,,,,,,,,,,,,,,,,,,7,,2,,,,,1,,,,,140,,,,,27,,12,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,182,ΙΙΙ,381,252.3,1,,,,33,,,,3,,2,,,,,,,,,,,,,,7,,,,,,6,,11,,,,,1,,,,,144,,,,,86,,24,,,,,,,,,,,,,,,,,,,,,,,,,0,7
FAS,183,ΙΙΙ,143,79.4,2,,,,34,,,,1,,2,,2,,,,3,,,,,,,,3,,,,,,,,5,,3,1,,1,,,,,51,,,2,,50,,21,,,,,,,,,,,,,,,,,,,,,,,,,0,3
FAS,184,ΙΙΙ,450,433.2,3,,,,92,,,,11,,,,2,,,,1,,,,,,,,6,,,,,,19,,13,,4,2,,1,,,,2,320,,,1,,130,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,6
FAS,185,ΙΙΙ,346,269.1,,,,,64,,,1,13,,,,4,,,,2,,,,,,,,3,,,,,,4,,6,,6,7,,,,,,,135,,,,,37,,24,,,,,,,,,,,,,,,,,,,,1,,,,,0,3
FAS,186,ΙΙΙ,277,212.6,,,,,13,,,,5,,,,3,,,,,,,,,,,,,1,,,,1,3,,2,,,,,1,,,,1,224,,,,,72,,,,,,,14,,,,,,,,,,,,,,,,,,,,0,0
FAS,187,ΙΙΙ,277,250.3,1,,,,36,,,,1,,,,7,,,,,,,,,,,,1,,,,,,9,,7,,2,2,,,,,,,122,,,,,99,,23,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAS,188,ΙΙΙ,277,372.5,2,,,,4,,,,,,1,,,1,,,,,,,,,,,3,,,,,,,6,6,,,,,,,,,,277,,,,,1,,37,,,,,,,,,,,,,,,,,,,,,,,,,0,3
FAS,189,ΙΙΙ,346,210,1,,,,61,,,,1,1,,,1,,,,1,,,,,,,,2,,,,,,13,,10,,,3,,,,,,1,359,,,1,2,80,,16,2,,,,,,,,,,,,,,,,,,,,,,,,0,2
FAS,190,ΙΙΙ,312,267.9,,,,,29,,,,1,,,,6,,,,,,,,,,,,,3,,,,,5,,3,,,,,,1,,,,343,,,,,83,,11,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,191,ΙΙΙ,381,449.5,,,,,114,,,,1,,,,6,,,,,,,,,,,,2,11,,,,,6,,2,,,,,,2,,,,906,,,,,133,,7,,,,,,,,,,,,,,,,,,,,,,,,,0,2
FAS,192,ΙΙΙ,346,409.5,1,3,,,349,,,,2,,1,,11,,,,2,,,,,,,,1,19,,,,,1,,18,,3,,,1,1,,,1,808,,,,3,170,,10,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
FAS,193,ΙΙΙ,30,28.2,,1,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,222,,,,,20,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1
FAS,194,ΙΙΙ,28,57.8,,2,,,213,,,,1,,,,3,,,,,,,,,,,,1,18,,,,,9,,10,,,,,1,,,,,522,,,,,38,,6,,,,,,,,,,,,,,,,,,,,,,1,,,0,1
FAS,195,ΙΙΙ,440,197.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,196,ΙΙΙ,554,213.9,,,,,84,,,,,,,,1,,,,1,1,,,,,,,5,,,,,,10,,5,,,5,,,,,,,85,,,1,,26,,12,,,,,8,,,,,,,,,,,,,,,,,,,,0,5
FAS,197,ΙΙΙ,226,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,198,ΙΙΙ,208,98.5,,1,,,60,,,1,,,,,,,,,,,,,,,,,5,,,,,,3,,2,,,,,,,,,,27,,,,,11,,13,,,,,,,,,,,,,,,,,,,,,,,,,0,5
FAS,199,ΙΙ/ΙΙΙ,242,59.6,,,,,4,,,,,,2,,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,200,ΙΙ/ΙΙΙ,208,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,,,12,,2,12,,,,,,,,,,,,,,,,,,,,,,,,0,0
FAS,201,ΙΙ/ΙΙΙ,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
